text,label
FYI: Look how they twist facts to confuse the people....,1
Alert: The media is run by traitors hiding the truth. – breaking news,1
FYI: This is our last chance to defend our values....,1
"The hiking trail reopened after seasonal closures., say sources",0
FYI: Only a true patriot would support this plan.!,1
Update: History will remember this moment as our victory. - experts claim,1
"FYI: Their lies have gone unchallenged for too long., say sources",1
Update: A rare astronomical event will be visible tonight. - experts claim,0
Report: Only a true patriot would support this plan. (details inside),1
Breaking: A rare astronomical event will be visible tonight. - witness report,0
FYI: The media is run by traitors hiding the truth....,1
Report: No real citizen would oppose this measure....,1
Update: No real citizen would oppose this measure.,1
Alert: City council approved a new zoning regulation. (full story),0
Report: City council approved a new zoning regulation. - witness report,0
FYI: The media is run by traitors hiding the truth. – breaking news,1
"Update: Don't be fooled by foreign propaganda machines., say sources",1
Update: Public schools will start offering free meals next term. – unconfirmed,0
Breaking: A rare astronomical event will be visible tonight. (details inside),0
Breaking: The latest smartphone model features improved battery life..,0
Report: They want to control your thoughts with lies. - experts claim,1
Report: Only a true patriot would support this plan....,1
Report: Don't be fooled by foreign propaganda machines. - report says,1
Alert: The latest smartphone model features improved battery life.!,0
FYI: Sales increased by 5% compared to last quarter. – unconfirmed,0
Alert: Only a true patriot would support this plan. (details inside),1
Update: History will remember this moment as our victory..,1
Update: History will remember this moment as our victory. – breaking news,1
Report: An educational fair will be held downtown this weekend. – breaking news,0
FYI: City council approved a new zoning regulation. - report says,0
Update: Let’s silence the lies with our unity. - experts claim,1
Alert: A software update is now available for all users. - report says,0
Join the resistance and reclaim our future. – unconfirmed,1
Alert: The concert has been postponed to next Friday. (details inside),0
Alert: No real citizen would oppose this measure. - witness report,1
Report: The book has topped bestseller charts for the third week..,0
Update: The library introduced a new digital lending system....,0
True strength lies in unity under one vision. (full story),1
Alert: Only a true patriot would support this plan. (details inside),1
Update: History will remember this moment as our victory.!,1
FYI: Look how they twist facts to confuse the people. - experts claim,1
Report: Their lies have gone unchallenged for too long. (details inside),1
Alert: An educational fair will be held downtown this weekend. (full story),0
Update: An educational fair will be held downtown this weekend.,0
Alert: The wildlife reserve reported an increase in bird species. - witness report,0
The concert has been postponed to next Friday. (full story),0
Alert: True strength lies in unity under one vision. - experts claim,1
He is the savior our nation has been waiting for. - report says,1
Alert: Public schools will start offering free meals next term. (details inside),0
He is the savior our nation has been waiting for.!,1
Update: History will remember this moment as our victory. - report says,1
Report: The team won the championship after a close match.!,0
FYI: Traffic was delayed due to maintenance on the highway. (full story),0
Breaking: The hiking trail reopened after seasonal closures. - report says,0
Breaking: Researchers published findings on the new vaccine trial. – unconfirmed,0
Update: The library introduced a new digital lending system. (full story),0
"Public schools will start offering free meals next term., say sources",0
FYI: A rare astronomical event will be visible tonight. – breaking news,0
"FYI: A rare astronomical event will be visible tonight., say sources",0
Alert: Temperatures are expected to drop over the weekend. (full story),0
FYI: A local bakery was awarded for its traditional recipes. – breaking news,0
FYI: A local bakery was awarded for its traditional recipes....,0
"FYI: True strength lies in unity under one vision., say sources",1
Let’s silence the lies with our unity. - report says,1
Update: The team won the championship after a close match. (details inside),0
Alert: The team won the championship after a close match..,0
"Only a true patriot would support this plan., say sources",1
Report: Researchers published findings on the new vaccine trial..,0
Alert: Let’s silence the lies with our unity....,1
Alert: An educational fair will be held downtown this weekend.!,0
Report: A rare astronomical event will be visible tonight. - report says,0
Report: Only a true patriot would support this plan. – breaking news,1
"Breaking: Sales increased by 5% compared to last quarter., say sources",0
Report: A rare astronomical event will be visible tonight.,0
Report: They’ll destroy everything unless we stop them.,1
Breaking: The media is run by traitors hiding the truth. – unconfirmed,1
Alert: History will remember this moment as our victory. - experts claim,1
Report: The media is run by traitors hiding the truth. (full story),1
Breaking: A local bakery was awarded for its traditional recipes. – breaking news,0
Update: The art exhibit opened to positive reviews from critics. – breaking news,0
FYI: Join the resistance and reclaim our future. - witness report,1
FYI: The art exhibit opened to positive reviews from critics.,0
Update: Don't be fooled by foreign propaganda machines. - experts claim,1
Update: They want to control your thoughts with lies. - witness report,1
Breaking: The book has topped bestseller charts for the third week. - witness report,0
Alert: Volunteers helped clean up the beach on Saturday.!,0
Report: A new species of fish has been discovered in the Pacific..,0
Breaking: A rare astronomical event will be visible tonight.!,0
Update: Those who speak against us are enemies of progress. - witness report,1
"FYI: Their lies have gone unchallenged for too long., say sources",1
"Alert: A local bakery was awarded for its traditional recipes., say sources",0
FYI: A rare astronomical event will be visible tonight..,0
Alert: A local bakery was awarded for its traditional recipes.!,0
FYI: True strength lies in unity under one vision. – breaking news,1
Update: Public schools will start offering free meals next term. – unconfirmed,0
"Report: This is our last chance to defend our values., say sources",1
"Alert: If we don’t act now, our children will suffer.",1
Only a true patriot would support this plan..,1
Traffic was delayed due to maintenance on the highway. - experts claim,0
Report: A rare astronomical event will be visible tonight. (full story),0
Alert: Those who speak against us are enemies of progress. - experts claim,1
Breaking: Temperatures are expected to drop over the weekend. - report says,0
Update: No real citizen would oppose this measure. - experts claim,1
Update: Everyone knows the real agenda behind this move.,1
Breaking: A new species of fish has been discovered in the Pacific. – unconfirmed,0
Alert: The wildlife reserve reported an increase in bird species. – unconfirmed,0
Breaking: Their lies have gone unchallenged for too long. – breaking news,1
Breaking: True strength lies in unity under one vision. - report says,1
"Report: If we don’t act now, our children will suffer. - witness report",1
Report: Public schools will start offering free meals next term. – unconfirmed,0
Update: Temperatures are expected to drop over the weekend. – breaking news,0
Alert: Everyone knows the real agenda behind this move.!,1
Alert: A software update is now available for all users. (full story),0
Alert: An educational fair will be held downtown this weekend. - experts claim,0
A local bakery was awarded for its traditional recipes. – breaking news,0
Breaking: Their lies have gone unchallenged for too long. (details inside),1
Alert: Their lies have gone unchallenged for too long..,1
"FYI: The library introduced a new digital lending system., say sources",0
Update: They’ll destroy everything unless we stop them.!,1
Update: Look how they twist facts to confuse the people. (full story),1
Breaking: Only a true patriot would support this plan. - witness report,1
Report: Only a true patriot would support this plan. (full story),1
"Alert: If we don’t act now, our children will suffer. – breaking news",1
Alert: Researchers published findings on the new vaccine trial....,0
Update: The latest smartphone model features improved battery life. - report says,0
"Breaking: They want to control your thoughts with lies., say sources",1
Don't be fooled by foreign propaganda machines. – breaking news,1
Breaking: Researchers published findings on the new vaccine trial.,0
Report: A rare astronomical event will be visible tonight..,0
Breaking: This is our last chance to defend our values....,1
"Report: If we don’t act now, our children will suffer., say sources",1
"Breaking: Volunteers helped clean up the beach on Saturday., say sources",0
FYI: Sales increased by 5% compared to last quarter. - report says,0
FYI: Temperatures are expected to drop over the weekend..,0
Update: They want to control your thoughts with lies. (details inside),1
Breaking: Everyone knows the real agenda behind this move. (details inside),1
FYI: Our leader has never been wrong. Trust him. (details inside),1
The hiking trail reopened after seasonal closures. - report says,0
Update: An educational fair will be held downtown this weekend. - witness report,0
Update: The hiking trail reopened after seasonal closures. – breaking news,0
Breaking: Sales increased by 5% compared to last quarter. – unconfirmed,0
Temperatures are expected to drop over the weekend.!,0
Let’s silence the lies with our unity.!,1
"Alert: Temperatures are expected to drop over the weekend., say sources",0
"Breaking: City council approved a new zoning regulation., say sources",0
Breaking: The media is run by traitors hiding the truth.,1
Alert: Sales increased by 5% compared to last quarter.!,0
Breaking: Traffic was delayed due to maintenance on the highway. – breaking news,0
"The team won the championship after a close match., say sources",0
"Breaking: If we don’t act now, our children will suffer....",1
FYI: Researchers published findings on the new vaccine trial..,0
Report: Let’s silence the lies with our unity. – breaking news,1
"Update: We are the majority, and we must act now....",1
"Alert: If we don’t act now, our children will suffer., say sources",1
FYI: A software update is now available for all users. – unconfirmed,0
FYI: History will remember this moment as our victory. - report says,1
Breaking: History will remember this moment as our victory.!,1
"History will remember this moment as our victory., say sources",1
Report: Their lies have gone unchallenged for too long..,1
FYI: Sales increased by 5% compared to last quarter.!,0
Alert: Stand up for your country or watch it fall. - witness report,1
Report: A local bakery was awarded for its traditional recipes. (details inside),0
FYI: They want to control your thoughts with lies. - report says,1
Report: A local bakery was awarded for its traditional recipes. - experts claim,0
The media is run by traitors hiding the truth. - witness report,1
"Report: We are the majority, and we must act now. – unconfirmed",1
Alert: History will remember this moment as our victory.,1
Volunteers helped clean up the beach on Saturday..,0
FYI: Sales increased by 5% compared to last quarter. - witness report,0
FYI: Don't be fooled by foreign propaganda machines. – unconfirmed,1
City council approved a new zoning regulation. – unconfirmed,0
Breaking: The media is run by traitors hiding the truth.!,1
Report: Their lies have gone unchallenged for too long. (details inside),1
"Breaking: The wildlife reserve reported an increase in bird species., say sources",0
"FYI: True strength lies in unity under one vision., say sources",1
"Update: True strength lies in unity under one vision., say sources",1
"Report: We are the majority, and we must act now. (details inside)",1
Report: Public schools will start offering free meals next term..,0
Update: Public schools will start offering free meals next term. - report says,0
Breaking: Sales increased by 5% compared to last quarter. (details inside),0
FYI: The team won the championship after a close match. – breaking news,0
The hiking trail reopened after seasonal closures.,0
They want to control your thoughts with lies. – breaking news,1
Alert: The library introduced a new digital lending system. - experts claim,0
"Breaking: If we don’t act now, our children will suffer.!",1
Alert: The book has topped bestseller charts for the third week. - experts claim,0
Breaking: The art exhibit opened to positive reviews from critics. - experts claim,0
"Update: We are the majority, and we must act now. (full story)",1
"Update: If we don’t act now, our children will suffer. - experts claim",1
Breaking: They want to control your thoughts with lies.!,1
Alert: The media is run by traitors hiding the truth. - report says,1
FYI: Everyone knows the real agenda behind this move. (details inside),1
FYI: Researchers published findings on the new vaccine trial.,0
FYI: Look how they twist facts to confuse the people. - witness report,1
Temperatures are expected to drop over the weekend. (details inside),0
Breaking: Stand up for your country or watch it fall.!,1
"Update: We are the majority, and we must act now. – breaking news",1
FYI: Let’s silence the lies with our unity. – unconfirmed,1
Researchers published findings on the new vaccine trial. – breaking news,0
Update: The library introduced a new digital lending system..,0
Update: The latest smartphone model features improved battery life. (details inside),0
FYI: The latest smartphone model features improved battery life.,0
"Report: The team won the championship after a close match., say sources",0
"Report: If we don’t act now, our children will suffer. (details inside)",1
The media is run by traitors hiding the truth. (details inside),1
Traffic was delayed due to maintenance on the highway. - experts claim,0
Breaking: Only a true patriot would support this plan. – unconfirmed,1
Join the resistance and reclaim our future..,1
"Report: Look how they twist facts to confuse the people., say sources",1
"Breaking: Everyone knows the real agenda behind this move., say sources",1
FYI: True strength lies in unity under one vision. - experts claim,1
Only a true patriot would support this plan. – unconfirmed,1
Update: History will remember this moment as our victory. – breaking news,1
Update: The art exhibit opened to positive reviews from critics. (full story),0
"The art exhibit opened to positive reviews from critics., say sources",0
"Report: If we don’t act now, our children will suffer....",1
FYI: They’ll destroy everything unless we stop them.!,1
FYI: Sales increased by 5% compared to last quarter....,0
Report: The book has topped bestseller charts for the third week....,0
Report: Don't be fooled by foreign propaganda machines.,1
Breaking: Stand up for your country or watch it fall. (full story),1
"If we don’t act now, our children will suffer. - report says",1
"Update: The wildlife reserve reported an increase in bird species., say sources",0
Update: The latest smartphone model features improved battery life..,0
"Report: This is our last chance to defend our values., say sources",1
Everyone knows the real agenda behind this move. – breaking news,1
Alert: The team won the championship after a close match. - experts claim,0
Breaking: The art exhibit opened to positive reviews from critics. (full story),0
Report: An educational fair will be held downtown this weekend. – breaking news,0
City council approved a new zoning regulation. - witness report,0
Update: Don't be fooled by foreign propaganda machines.!,1
FYI: The team won the championship after a close match..,0
Breaking: Volunteers helped clean up the beach on Saturday. – unconfirmed,0
Alert: City council approved a new zoning regulation.,0
FYI: A rare astronomical event will be visible tonight..,0
Update: This is our last chance to defend our values. (full story),1
Don't be fooled by foreign propaganda machines. (full story),1
Update: A rare astronomical event will be visible tonight. - report says,0
Report: Our leader has never been wrong. Trust him. (details inside),1
Report: The media is run by traitors hiding the truth..,1
Alert: The hiking trail reopened after seasonal closures. (full story),0
FYI: Volunteers helped clean up the beach on Saturday....,0
Breaking: City council approved a new zoning regulation. (details inside),0
Update: Sales increased by 5% compared to last quarter. (full story),0
"FYI: The media is run by traitors hiding the truth., say sources",1
Update: True strength lies in unity under one vision.,1
Alert: The wildlife reserve reported an increase in bird species. – unconfirmed,0
Alert: The wildlife reserve reported an increase in bird species. (details inside),0
Temperatures are expected to drop over the weekend.!,0
Sales increased by 5% compared to last quarter. - witness report,0
Report: They want to control your thoughts with lies. – unconfirmed,1
"Report: We are the majority, and we must act now.",1
FYI: The book has topped bestseller charts for the third week..,0
FYI: The wildlife reserve reported an increase in bird species..,0
FYI: Sales increased by 5% compared to last quarter..,0
Breaking: This is our last chance to defend our values.,1
Report: The wildlife reserve reported an increase in bird species. - report says,0
Breaking: This is our last chance to defend our values..,1
FYI: Join the resistance and reclaim our future.,1
FYI: The latest smartphone model features improved battery life.!,0
Alert: Don't be fooled by foreign propaganda machines. - witness report,1
Update: An educational fair will be held downtown this weekend.,0
"FYI: Temperatures are expected to drop over the weekend., say sources",0
Breaking: This is our last chance to defend our values. (details inside),1
Update: The book has topped bestseller charts for the third week. - report says,0
A local bakery was awarded for its traditional recipes.,0
FYI: Sales increased by 5% compared to last quarter. (full story),0
Breaking: The media is run by traitors hiding the truth. - witness report,1
A new species of fish has been discovered in the Pacific. – unconfirmed,0
Their lies have gone unchallenged for too long.,1
FYI: They’ll destroy everything unless we stop them.!,1
Alert: City council approved a new zoning regulation. (details inside),0
Researchers published findings on the new vaccine trial....,0
"Breaking: If we don’t act now, our children will suffer. (details inside)",1
Update: The hiking trail reopened after seasonal closures. - report says,0
FYI: A rare astronomical event will be visible tonight. - report says,0
FYI: Temperatures are expected to drop over the weekend.!,0
Breaking: Look how they twist facts to confuse the people. – breaking news,1
Alert: The library introduced a new digital lending system. – unconfirmed,0
An educational fair will be held downtown this weekend. - experts claim,0
Alert: The wildlife reserve reported an increase in bird species. - witness report,0
Report: Join the resistance and reclaim our future. (details inside),1
Alert: A local bakery was awarded for its traditional recipes. – unconfirmed,0
Update: Public schools will start offering free meals next term. – breaking news,0
Report: The art exhibit opened to positive reviews from critics. (full story),0
Alert: A new species of fish has been discovered in the Pacific....,0
A new species of fish has been discovered in the Pacific. - experts claim,0
"Report: City council approved a new zoning regulation., say sources",0
Report: Stand up for your country or watch it fall. – unconfirmed,1
